OID_,PEDON_ID,LAYER_ID,U_DEPTH,L_DEPTH,CARB_ORG,CACO3_EQ,PH_H2O,PH_CACL2,EXCH_AL,EXCH_CA,EXCH_H,EXCH_K,EXCH_MG,EXCH_NA,EXCH_PCHRG,CEC,BASE_SATN,X_ACIDITY,NO3,P_INORG,P_ORG,N_TOTAL,AVAIL_K,CALCITE,DOLOMITE
234,0042711,3,29,58,0.11, , ,8.1, , , , , , , , , , , , , ,9, ,4.8,2.3
235,0042711,4,58, ,0.09, , ,8.1, , , , , , , , , , , , , ,9, ,4.3,2.2
236,0042733,2,0,15,4.55, , ,8.1, ,24.4, ,0.6,20.9,1.9, ,37.6, , , , , ,0.39, ,4.4,4.3
237,0042737,6,86,106,0.71, , ,8.1, , , , , , , , , , , , , ,9, ,6.4,3.5
238,0042740,4,70,110,0.51, , ,8.1, , , , , , , , , , , , , ,9, ,11.8,19.8
239,0042742,4,18,51,0.76, , ,8.1, , , , , , , , , , , , , ,9, ,21.4,24.3
240,0042748,2,0,10,1.45, , ,8.1, , , , , , , ,8.8, , , , , ,0.12, ,61.6,7.5
241,0042937,3,23,51, , , ,8.1, , , , , , , , , , , , , ,9, ,12,33
242,0042938,5,76,89, , , ,8.1, , , , , , , , , , , , , ,9, , , 
243,0042940,3,25,46,0.9, , ,8.1, , , , , , , , , , , , , ,9, , , 
244,0042941,2,0,31, , , ,8.1, , , , , , , , , , , , , ,9, , , 
245,0042942,3,33,43,0.4, , ,8.1, ,14.8, ,0.2,1.7,0.1, , , , , , , ,9, , , 
246,0042942,4,43,61,0.3, , ,8.1, ,14.6, ,0.2,0.8,0.2, , , , , , , ,9, , , 
247,0042948,2,0,43,1.2, , ,8.1, ,18.5, ,0.8,12.8,0.8, , , , , , , ,9, , , 
248,0042948,4,56,81, , , ,8.1, , , , , , , , , , , , , ,9, , , 
249,0042948,5,81, , , , ,8.1, ,10.2, ,0.8,6.2,0.4, , , , , , , ,9, , , 
250,0043045,1,0,14,3.91, , ,8.1, , , , , , , , , , , , , ,9, ,9.1,15.7
251,0043066,7,46,76, , , ,8.1, , , , , , , ,1.1, , , , , ,9, ,9.3,52.1
