"pedon_id","province","cal_year","latitude","longitude","conf_metrs","has_organic_horizon","std_stock_kgm2","std_stock_complete","dist_fort_severn_km","flag_location_conf_poor"
54686,"ontario",1975,42.1694183,-82.5289383,15,FALSE,4.5318,TRUE,1582.89049773317,FALSE
54687,"ontario",1975,42.0703201,-82.5646286,15,FALSE,4.134,TRUE,1593.0937035957,FALSE
54688,"ontario",1975,42.0620689,-82.5420685,15,FALSE,2.9997,TRUE,1594.36499754131,FALSE
54689,"ontario",1975,42.1566811,-82.5383072,15,FALSE,9.165,TRUE,1584.12166057068,FALSE
54694,"ontario",1976,45.3717117,-75.7280121,15,FALSE,2.171,TRUE,1446.26419593003,FALSE
54726,"ontario",1976,43.3361702,-81.3859863,15,FALSE,6.768,TRUE,1478.45092193661,FALSE
54738,"ontario",1977,43.0328712,-79.7514572,15,FALSE,7.911,TRUE,1549.39316928025,FALSE
54740,"ontario",1977,42.9319496,-79.8313217,15,FALSE,5.655,TRUE,1557.98873429632,FALSE
54741,"ontario",1977,42.9330482,-79.7645111,15,FALSE,5.7615,TRUE,1559.58379798055,FALSE
54742,"ontario",1977,42.8599586,-79.7929001,15,FALSE,8.3216,TRUE,1566.57134744588,FALSE
54744,"ontario",1977,42.9286804,-79.6555328,15,FALSE,3.328,TRUE,1562.86213405616,FALSE
54754,"ontario",1978,45.30616,-75.6180115,25,TRUE,18.4964,TRUE,1456.93083528136,FALSE
54758,"ontario",1978,45.3058815,-75.6180115,25,TRUE,12.888,TRUE,1456.95741251704,FALSE
54766,"ontario",1978,45.4125519,-75.5152206,25,TRUE,13.524,TRUE,1450.94883643913,FALSE
54769,"ontario",1978,45.4178314,-75.5149384,25,TRUE,12.648,TRUE,1450.45877260951,FALSE
54770,"ontario",1978,45.4189415,-75.5157776,25,TRUE,12.822,TRUE,1450.31927534139,FALSE
54775,"ontario",1978,43.0631294,-79.8460312,15,FALSE,5.2901,TRUE,1543.76616522328,FALSE
54776,"ontario",1978,42.9339981,-79.5745316,15,FALSE,8.1159,TRUE,1564.41823435913,FALSE
54868,"ontario",1979,43.1889381,-79.3914566,25,FALSE,5.3682,TRUE,1542.52312457873,FALSE
54880,"ontario",1979,42.9065208,-80.4712601,15,FALSE,5.256,TRUE,1544.95453444186,FALSE
